slot number	?0	rarity	Gacha	DMG	DPS	internalname	correctname	searchname	Base HP	Knockback	Movespeed	BaseDmg	Half time between attacks	Range	Cost	Base Cost	Respawn time no treasures (f)	?1	Hitbox size	Red	?2	Area	First frame atk	?3	?4	Floating	Black	Metal	White	Angel	Alien	Zombie	Strong against	knockback %	Freeze %	Freeze by frames	Slow Chance	Slow Length	Resistant	Massive Dmg	Critical %	Only attacks?	Extra Money	Base Destroyer	Wave chance	Wave level	Weaken chance %	Weaken Length	Weaken by %	Strengthen at % health	Increase damage by	Survive chance %	Metal attrib	Standing Distance	LD width	Resist shockwave	Wave Blocker	Resist  Knockback	Resist Freeze	Resist Slow	Resist Weaken	Zombie Killer	Witch Killer	Target Witch	# of atks before not moving	Shield Wall flag	1 multihit BaseDmg	2 multihit BaseDmg	1 multihit frame	2 multihit frame	Use ability 1st hit	Use ability first multi hit	Use Ability 2 multihit	Spawn Animation	Soul animation	Unique Spawn Animation	Marks Legend forms? + Moneko	?5	?6	Barrier breaker % chance	Warp Chance	Warp duration	Minimum Warp	Maximum Warp	Warp Blocker	Target eva angels	Eva killer?	Target Relic	Resist Curse	Insanely Resistant	Insanely Massive Dmg	Savage blow %	Savage blow dmgX	Dodge Chance	Dodge time	Full Swing	correctname	atk freq	backswing	dps
3	4	B	0	1700	408	unit004	Sexy Legs Cat	sexy legs cat	400	3	10	100	60	350	600	400	165	0	320	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	Sexy Legs Cat	125	10	24
3	5	B	0	3400	816	unit004	Macho Legs Cat	macho legs cat	800	3	10	200	60	350	600	400	245	0	320	0	0	0	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Macho Legs Cat	125	6	48
4	3	B	0	221	737	unit005	Cow Cat	cow cat	500	5	30	13	0	140	750	500	135	0	320	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	Cow Cat	10	4	39
4	4	B	0	221	737	unit005	Giraffe Cat	giraffe cat	500	5	30	13	0	140	750	500	135	0	320	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	Giraffe Cat	10	4	39
4	5	B	0	442	780	unit005	Lion Cat	lion cat	1000	5	30	26	0	140	750	500	195	0	320	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	Lion Cat	10	4	78
5	3	B	0	2380	1457	unit006	Bird Cat	bird cat	300	4	10	140	20	170	975	650	125	0	320	0	0	1	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	Bird Cat	49	16	85,71428571
5	4	B	0	2805	1476	unit006	UFO Cat	ufo cat	300	4	10	165	20	170	975	650	125	0	320	0	0	1	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	UFO Cat	57	-4	86,84210526
5	5	B	0	5610	2953	unit006	The Flying Cat	the flying cat	600	4	10	330	20	170	975	650	185	0	320	0	0	1	18	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	120	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	The Flying Cat	57	8	173,6842105
6	3	B	0	3060	1732	unit007	Fish Cat	fish cat	700	3	10	180	22	150	1200	800	195	0	320	1	0	0	10	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	Fish Cat	53	8	101,8867925
6	4	B	0	3060	1732	unit007	Whale Cat	whale cat	700	3	10	180	22	150	1200	800	195	0	320	1	0	0	10	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	Whale Cat	53	8	101,8867925
6	5	B	0	6120	3464	unit007	Island Cat	island cat	1400	3	10	360	22	150	1200	800	255	0	320	1	0	0	10	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	Island Cat	53	8	203,7735849
7	3	B	0	5950	1384	unit008	Lizard Cat	lizard cat	800	3	10	350	60	400	1500	1000	285	0	320	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	Lizard Cat	129	6	81,39534884
7	4	B	0	5950	1406	unit008	Dragon Cat	dragon cat	800	3	10	350	60	400	1500	1000	285	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	Dragon Cat	127	6	82,67716535
7	5	B	0	6800	1606	unit008	King Dragon Cat	king dragon cat	900	3	10	400	60	400	1500	1000	385	0	320	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	King Dragon Cat	127	8	94,48818898
8	3	B	0	4760	2131	unit009	Titan Cat	titan cat	1000	1	8	280	25	150	1950	1300	405	0	320	0	0	1	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	Titan Cat	67	14	125,3731343
8	4	B	0	4760	2131	unit009	Mythical Titan Cat	mythical titan cat	1000	1	8	280	25	150	1950	1300	405	0	320	0	0	1	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	Mythical Titan Cat	67	8	125,3731343
8	5	B	0	9520	4263	unit009	Jamiera Cat	jamiera cat	2000	1	8	560	25	150	1950	1300	465	0	320	1	0	1	18	0	9	1	1	0	1	1	1	1	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	32	Jamiera Cat	67	14	250,7462687
9	3	E	0	1700	405	unit010	Actress Cat	actress cat	400	3	10	100	60	350	900	600	165	0	320	0	0	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	Actress Cat	126	9	23,80952381
9	4	E	0	1700	405	unit010	Mother Cat	mother cat	400	3	10	100	60	350	900	600	165	0	320	0	0	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Mother Cat	126	5	23,80952381
9	5	E	0	1700	593	unit010	Beefcake Cat	beefcake cat	650	3	10	100	40	350	900	600	165	0	320	0	0	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	Beefcake Cat	86	9	34,88372093
10	3	E	0	18700	2671	unit011	Kung Fu Cat	kung fu cat	900	1	9	1100	100	300	2250	1500	430	0	320	0	0	1	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	Kung Fu Cat	210	50	157,1428571
10	4	E	0	4114	664	unit011	Drunken Master Cat	drunken master cat	900	1	9	242	88	300	2250	1500	430	0	320	0	0	1	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	60	908	15	35	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	Drunken Master Cat	136	80	266,9117647
10	5	E	0	20570	2939	unit011	Dancer Cat	dancer cat	900	1	9	1210	88	330	2250	1500	430	0	320	0	0	1	35	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	Dancer Cat	210	26	172,8571429
11	3	E	0	595	1050	unit012	Mr.	mr.	500	5	31	35	8	140	825	550	240	0	320	0	0	1	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	Mr.	17	14	61,76470588
11	4	E	0	595	1050	unit012	Super Mr.	super mr.	500	5	31	35	8	140	825	550	240	0	320	0	0	1	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	Super Mr.	18	16	58,33333333
11	5	E	0	595	992	unit012	Hyper Mr.	hyper mr.	500	5	47	35	8	140	825	550	240	0	320	0	0	1	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	Hyper Mr.	17	14	61,76470588
12	3	E	0	1700	2217	unit013	Bondage Cat	bondage cat	700	1	5	100	3	120	1035	690	220	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Bondage Cat	12	6	250
12	4	E	0	1700	1962	unit013	Bondage CatNEO	bondage catneo	700	1	5	100	3	120	1035	690	220	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Bondage CatNEO	12	6	250
12	5	E	0	1700	1159	unit013	Ultimate Bondage Cat	ultimate bondage cat	1400	1	5	100	3	120	1035	690	220	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	45	Ultimate Bondage Cat	45	39	66,66666667
13	3	E	0	748	2040	unit014	Dom Cat	dom cat	700	1	5	44	3	210	1440	960	220	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	44	44	17	28	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Dom Cat	12	51	330
13	4	E	0	748	2040	unit014	Executioner	executioner	700	1	5	44	3	210	1440	960	220	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	44	44	17	28	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Executioner	12	51	330
13	5	E	0	2244	6120	unit014	Dark Lazer	dark lazer	700	1	5	132	3	210	1440	960	220	0	320	1	0	0	6	0	9	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Dark Lazer	12	6	330
14	3	E	0	5100	1530	unit015	Cats in a Box	cats in a box	800	3	35	300	0	140	1125	750	230	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	Cats in a Box	101	93	89,10891089
14	4	E	0	5100	1530	unit015	Cat Gang	cat gang	800	3	35	300	0	140	1125	750	230	0	320	0	0	1	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	Cat Gang	101	93	89,10891089
14	5	E	0	5100	1530	unit015	Heavy Assault C.A.T.	heavy assault c.a.t.	800	3	30	300	0	199	1125	750	230	0	320	0	0	1	8	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	200	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	Heavy Assault C.A.T.	101	93	89,10891089
15	3	E	0	1700	408	unit016	Panties Cat	panties cat	400	3	10	100	60	350	525	350	165	0	320	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	Panties Cat	125	7	24
15	4	E	0	1700	408	unit016	Leaf Cat	leaf cat	400	3	10	100	60	350	525	350	165	0	320	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Leaf Cat	125	6	24
15	5	E	0	1700	408	unit016	Lollycat	lollycat	400	3	10	100	60	350	525	350	165	0	320	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Lollycat	125	6	24
16	3	E	0	6800	1606	unit017	Moneko	moneko	600	4	5	400	50	160	149	99	999	0	320	0	0	0	28	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	Moneko	127	29	94,48818898
16	4	E	0	6800	1606	unit017	Miss MONEKO	miss moneko	1000	4	5	400	50	160	149	99	999	0	320	0	0	0	28	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	Miss MONEKO	127	29	94,48818898
17	3	E	0	3060	1556	unit018	Tricycle Cat	tricycle cat	400	4	10	180	20	170	1050	700	125	0	320	0	0	1	20	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	Tricycle Cat	59	27	91,52542373
17	4	E	0	3060	1556	unit018	Biker Cat	biker cat	400	4	10	180	22	170	1050	700	125	0	320	0	0	1	16	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	Biker Cat	59	17	91,52542373
17	5	E	0	3060	1177	unit018	Unicycle Cat	unicycle cat	400	4	10	180	22	170	525	350	125	0	320	0	0	1	16	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	Unicycle Cat	59	31	91,52542373
18	3	E	0	238	420	unit019	Ninja Cat	ninja cat	240	3	13	14	4	150	300	200	105	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	14	0	14	0	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	Ninja Cat	18	26	46,66666667
18	4	E	0	238	420	unit019	Ninja Frog Cat	ninja frog cat	240	3	13	14	4	150	300	200	105	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	14	0	14	0	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	Ninja Frog Cat	18	26	46,66666667
18	5	E	0	476	680	unit019	Flying Ninja Cat	flying ninja cat	240	3	10	28	8	150	225	150	105	0	320	1	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	Flying Ninja Cat	21	12	40
